EventType: Rotation EventDate: 9/28/2020 5:06:11 PM AdditionalInfo: 61 
EventType: Rotation EventDate: 9/28/2020 5:06:11 PM AdditionalInfo: 60 
EventType: Rotation EventDate: 9/28/2020 5:06:11 PM AdditionalInfo: 58 
EventType: Rotation EventDate: 9/28/2020 5:06:11 PM AdditionalInfo: 56 
EventType: Rotation EventDate: 9/28/2020 5:06:11 PM AdditionalInfo: 54 
EventType: Rotation EventDate: 9/28/2020 5:06:11 PM AdditionalInfo: 48 
EventType: Rotation EventDate: 9/28/2020 5:06:11 PM AdditionalInfo: 42 
EventType: Rotation EventDate: 9/28/2020 5:06:11 PM AdditionalInfo: 36 
EventType: Rotation EventDate: 9/28/2020 5:06:11 PM AdditionalInfo: 33 
EventType: Rotation EventDate: 9/28/2020 5:06:11 PM AdditionalInfo: 31 
EventType: Rotation EventDate: 9/28/2020 5:06:11 PM AdditionalInfo: 29 
EventType: Rotation EventDate: 9/28/2020 5:06:11 PM AdditionalInfo: 25 
EventType: Rotation EventDate: 9/28/2020 5:06:11 PM AdditionalInfo: 23 
EventType: Rotation EventDate: 9/28/2020 5:06:11 PM AdditionalInfo: 21 
EventType: Rotation EventDate: 9/28/2020 5:06:11 PM AdditionalInfo: 17 
EventType: Rotation EventDate: 9/28/2020 5:06:11 PM AdditionalInfo: 15 
EventType: Rotation EventDate: 9/28/2020 5:06:11 PM AdditionalInfo: 11 
EventType: Rotation EventDate: 9/28/2020 5:06:11 PM AdditionalInfo: 6 
EventType: Rotation EventDate: 9/28/2020 5:06:11 PM AdditionalInfo: 0 
EventType: Rotation EventDate: 9/28/2020 5:06:12 PM AdditionalInfo: 4 
EventType: Rotation EventDate: 9/28/2020 5:06:12 PM AdditionalInfo: 8 
EventType: Rotation EventDate: 9/28/2020 5:06:12 PM AdditionalInfo: 17 
EventType: Rotation EventDate: 9/28/2020 5:06:12 PM AdditionalInfo: 25 
EventType: Rotation EventDate: 9/28/2020 5:06:12 PM AdditionalInfo: 33 
EventType: Rotation EventDate: 9/28/2020 5:06:12 PM AdditionalInfo: 36 
EventType: Rotation EventDate: 9/28/2020 5:06:12 PM AdditionalInfo: 42 
EventType: Rotation EventDate: 9/28/2020 5:06:12 PM AdditionalInfo: 44 
EventType: Rotation EventDate: 9/28/2020 5:06:12 PM AdditionalInfo: 46 
EventType: Rotation EventDate: 9/28/2020 5:06:12 PM AdditionalInfo: 44 
EventType: Rotation EventDate: 9/28/2020 5:06:12 PM AdditionalInfo: 42 
EventType: Rotation EventDate: 9/28/2020 5:06:12 PM AdditionalInfo: 40 
EventType: Rotation EventDate: 9/28/2020 5:06:12 PM AdditionalInfo: 38 
EventType: Rotation EventDate: 9/28/2020 5:06:12 PM AdditionalInfo: 36 
EventType: Rotation EventDate: 9/28/2020 5:06:12 PM AdditionalInfo: 33 
EventType: Rotation EventDate: 9/28/2020 5:06:12 PM AdditionalInfo: 31 
